id,memo,status,review_id,created_at,updated_at,confirm_type
30,NULL,등록신청,21,"2020-01-06 07:00:47","2020-05-27 11:24:23",리뷰
31,"안녕하세요! 고객님,
오마방 담당자 입니다.
오마방에 리뷰를 작성해 주셔서 대단히 감사합니다!
고객님이 작성해주신 리뷰는 유의사항에 맞게 아주 잘 작성해 주셨습니다.
다만, '좋아요' 혹은 '보통이에요'를 클릭해 주신 항목에서 어떤 점이 좋았는지, 보통이었는지를 간단하게라도 작성해 주신다면,
향후 타 고객님이 리뷰를 읽으실 때 더 높은 유입이 될 것이라 기대 됩니다.
당사가 권장하고 있는 리뷰의 글자 수는 명시되어 있지는 않으나 평균 500자 이상은 넘어야
추후 고객님이 작성하신 리뷰를 읽은 고객들의 만족도가 높을 것으로 예상됩니다.﻿
(현재, 고객님이 작성하신 총 글자 수는 100자 미만으로 예상됩니다.)
하지만, 고객님께서는 올바르게 작성해 주셨기에 보완을 따로 하지 않으셔도
아무 문제없이 3일 이내에 보완 및 수정없이도 자동으로 리뷰가 최종 등록되시겠습니다!﻿
향후, 기존 작성자 및 신규 작성자 분들에게 소소한 경품이벤트를 실시하고자 하며, 자동으로 이벤트 참가 대상자가
되시겠습니다. (원치 않으신다면 카카오톡 @오마방이나 본 메일로 회신주시면 되겠습니다. 별도의 정보를 요구하지 않습니다.)
덧붙여, 작성하진 리뷰 중 일부의 단어 혹은 내용이 순화되어 기재될 수 있는점 알려드립니다.
앞으로 올바른 집주인과 세입자 관계가 될 수 있도록 노력하겠습니다.
고객님 또한 이에 기여해주셔서 매우 감사드립니다.
발전방향이나 불편사항이 있을 시 언제든 아래로 연락주시면 감사하겠습니다.﻿
이상입니다!

홈페이지 : http://ohmybang.com
고객센터 : 카카오톡 @오마방",등록완료,20,"2020-01-06 07:55:30","2020-05-27 11:24:23",리뷰
32,NULL,등록완료,21,"2020-01-06 08:09:55","2020-05-27 11:24:23",리뷰
33,NULL,등록신청,23,"2020-01-07 07:36:52","2020-05-27 11:24:23",리뷰
34,NULL,등록신청,24,"2020-01-07 07:43:22","2020-05-27 11:24:23",리뷰
35,NULL,등록신청,25,"2020-01-07 07:48:55","2020-05-27 11:24:23",리뷰
36,NULL,등록완료,25,"2020-01-08 11:23:54","2020-05-27 11:24:23",리뷰
37,NULL,등록완료,24,"2020-01-08 11:24:21","2020-05-27 11:24:23",리뷰
38,NULL,등록완료,23,"2020-01-08 11:24:48","2020-05-27 11:24:23",리뷰
39,NULL,등록신청,26,"2020-01-09 10:04:17","2020-05-27 11:24:23",리뷰
40,NULL,등록신청,28,"2020-01-09 10:19:13","2020-05-27 11:24:23",리뷰
41,NULL,등록완료,26,"2020-01-10 08:49:19","2020-05-27 11:24:23",리뷰
42,"안녕하십니까 고객님! 오마방 담당자입니다. 긴 장문의 글은 등록해주신 아이디(이메일)로 송부되었습니다. 요약해서 말씀드리자면, 등록해주신 사진(집 등록 사진)이 정면으로 보이지 않아, 보완해주셔서 [등록 신청]해주시면 감사하겠습니다. 계약서 사진은 유의사항에 맞게 아주 잘 전송해 주셨습니다. 오마방에 관심가져주셔서 감사합니다. 조만간 새로운 업데이트를 통해 리뷰 작성하신 고객님들의 구매율을 높일 수 있게 하고자 합니다. 지켜봐주십시요. 감사합니다!!",등록반려,28,"2020-01-10 08:51:16","2020-05-27 11:24:23",리뷰
43,NULL,등록신청,28,"2020-01-10 14:11:43","2020-05-27 11:24:23",리뷰
44,NULL,등록완료,28,"2020-01-10 20:54:02","2020-05-27 11:24:23",리뷰
45,NULL,등록신청,30,"2020-01-11 11:46:52","2020-05-27 11:24:24",리뷰
46,NULL,등록완료,30,"2020-01-12 17:37:23","2020-05-27 11:24:24",리뷰
47,NULL,등록신청,32,"2020-01-16 14:42:45","2020-05-27 11:24:24",리뷰
48,NULL,등록완료,32,"2020-01-17 02:45:06","2020-05-27 11:24:24",리뷰
53,NULL,등록신청,33,"2020-01-17 14:50:58","2020-05-27 11:24:24",리뷰
54,NULL,등록신청,35,"2020-01-17 16:18:40","2020-05-27 11:24:24",리뷰
60,NULL,등록신청,38,"2020-01-18 16:48:44","2020-05-27 11:24:24",리뷰
61,NULL,등록완료,38,"2020-01-19 07:35:06","2020-05-27 11:24:24",리뷰
62,NULL,등록신청,39,"2020-01-23 02:38:56","2020-05-27 11:24:24",리뷰
63,NULL,등록신청,40,"2020-01-23 04:28:10","2020-05-27 11:24:24",리뷰
64,NULL,등록완료,39,"2020-01-23 05:07:53","2020-05-27 11:24:24",리뷰
65,NULL,등록완료,40,"2020-01-23 05:11:08","2020-05-27 11:24:24",리뷰
66,NULL,등록신청,41,"2020-01-23 22:31:18","2020-05-27 11:24:24",리뷰
67,NULL,등록신청,42,"2020-01-24 06:03:25","2020-05-27 11:24:24",리뷰
68,NULL,등록완료,41,"2020-01-24 06:40:44","2020-05-27 11:24:24",리뷰
69,NULL,등록완료,42,"2020-01-24 06:45:59","2020-05-27 11:24:24",리뷰
70,NULL,등록신청,43,"2020-01-24 07:02:33","2020-05-27 11:24:25",리뷰
71,NULL,등록신청,44,"2020-01-24 12:16:00","2020-05-27 11:24:25",리뷰
72,NULL,등록신청,45,"2020-01-24 12:27:55","2020-05-27 11:24:25",리뷰
73,NULL,등록신청,46,"2020-01-24 12:49:10","2020-05-27 11:24:25",리뷰
74,NULL,등록신청,47,"2020-01-24 13:32:53","2020-05-27 11:24:25",리뷰
75,NULL,등록완료,47,"2020-01-25 11:26:13","2020-05-27 11:24:25",리뷰
76,NULL,등록완료,46,"2020-01-25 11:26:15","2020-05-27 11:24:25",리뷰
77,NULL,등록완료,45,"2020-01-25 11:26:18","2020-05-27 11:24:25",리뷰
78,NULL,등록완료,44,"2020-01-25 11:26:21","2020-05-27 11:24:25",리뷰
79,NULL,등록완료,43,"2020-01-25 11:47:16","2020-05-27 11:24:25",리뷰
80,NULL,등록신청,48,"2020-01-25 12:23:56","2020-05-27 11:24:25",리뷰
81,NULL,등록완료,48,"2020-01-27 22:43:03","2020-05-27 11:24:25",리뷰
82,반려,등록반려,35,"2020-02-25 11:08:27","2020-05-27 11:24:25",리뷰
83,반려,등록반려,33,"2020-02-25 11:08:31","2020-05-27 11:24:25",리뷰
84,NULL,등록신청,35,"2020-02-25 11:37:31","2020-05-27 11:24:25",리뷰
85,NULL,등록신청,49,"2020-02-25 11:38:37","2020-05-27 11:24:25",리뷰
86,.,등록반려,49,"2020-02-25 11:46:19","2020-05-27 11:24:25",리뷰
87,반려,등록반려,35,"2020-02-25 11:57:10","2020-05-27 11:24:25",리뷰
88,NULL,등록신청,35,"2020-02-25 11:58:20","2020-05-27 11:24:25",리뷰
89,NULL,등록신청,50,"2020-02-25 12:03:48","2020-05-27 11:24:25",리뷰
90,반려,등록반려,35,"2020-02-25 12:06:45","2020-05-27 11:24:26",리뷰
91,반려,등록반려,50,"2020-02-25 12:07:12","2020-05-27 11:24:26",리뷰
92,NULL,등록신청,50,"2020-02-25 12:08:12","2020-05-27 11:24:26",리뷰
93,NULL,등록신청,51,"2020-02-25 12:14:26","2020-05-27 11:24:26",리뷰
94,NULL,등록신청,35,"2020-02-29 14:14:50","2020-05-27 11:24:26",리뷰
95,NULL,등록완료,35,"2020-02-29 14:55:16","2020-05-27 11:24:26",리뷰
96,NULL,등록완료,51,"2020-03-03 15:36:28","2020-05-27 11:24:26",리뷰
97,NULL,"심사 중",52,"2020-07-15 11:34:38","2020-07-15 11:34:38",증빙
98,NULL,임시저장,52,"2020-07-15 11:40:56","2020-07-15 11:40:56",리뷰
99,NULL,임시저장,52,"2020-07-15 12:40:55","2020-07-15 12:40:55",리뷰
100,NULL,임시저장,52,"2020-07-15 12:54:27","2020-07-15 12:54:27",리뷰
101,NULL,임시저장,52,"2020-07-15 13:07:45","2020-07-15 13:07:45",리뷰
102,NULL,임시저장,52,"2020-07-15 13:11:22","2020-07-15 13:11:22",리뷰
103,NULL,등록신청,52,"2020-07-15 13:11:36","2020-07-15 13:11:36",리뷰
104,NULL,완료,52,"2020-07-15 13:14:45","2020-07-15 13:14:45",증빙
105,NULL,등록완료,52,"2020-07-15 13:15:00","2020-07-15 13:15:00",리뷰
106,NULL,"심사 중",53,"2020-09-09 04:57:42","2020-09-09 04:57:42",증빙
107,NULL,임시저장,53,"2020-09-09 05:50:57","2020-09-09 05:50:57",리뷰
108,NULL,등록신청,53,"2020-09-09 05:56:54","2020-09-09 05:56:54",리뷰
109,NULL,"심사 중",54,"2020-12-14 03:58:06","2020-12-14 03:58:06",증빙
